Letter;Path
alefHamzaabove-ar.fina;M212,293v-60l-68,10c-37,5-69-15-69-44c0-21,16-33,37-33c17,0,31,10,38,23l46-6c-5-48-36-77-81-77c-49,0-87,37-87,85c0,27,13,50,34,63l-52,7v60ZM266,961v-60c-79,0-116-40-116-125v-407h-70v407c0,140,53,205,166,205Z
alef-ar;M150,981v-773h-70v773Z
alef-ar.fina;M236,981l20-20v-60c-85,0-116-33-116-125v-568h-70v568c0,140,50,205,161,205Z
alefMadda-ar;M-42,347h46c0-20,8-33,32-33c49,0,85,17,141,17c23,0,43-5,60-14v-55c-19,8-39,11-60,11c-47,0-92-17-141-17c-47,0-78,36-78,91ZM140,981v-612h-70v612Z
alefMadda-ar.fina;M-32,347h46c0-20,8-33,32-33c49,0,85,17,141,17c23,0,43-5,60-14v-55c-19,8-39,11-60,11c-47,0-92-17-141-17c-47,0-78,36-78,91ZM266,961v-60c-79,0-116-40-116-125v-407h-70v407c0,140,53,205,166,205Z
alefHamzaabove-ar;M202,293v-60l-68,10c-37,5-69-15-69-44c0-21,16-33,37-33c17,0,31,10,38,23l46-6c-5-48-36-77-81-77c-49,0-87,37-87,85c0,27,13,50,34,63l-52,7v60ZM140,981v-612h-70v612Z
beh-ar.medi;M299,961v-60c-45,0-75-8-92-25c-16-17-24-54-24-110v-103h-70v103c0,99-32,135-113,135l-20,20v60c87,0,137-30,150-94c15,64,62,94,149,94ZM179,1112c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51Z
beh-ar.init;M-20,981h20c132,0,192-65,192-208c0-51-5-115-14-180h-73c11,76,17,137,17,180c0,88-29,128-122,128l-20,20ZM162,1112c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51Z
beh-ar;M803,773c0-51-3-115-10-180h-75c9,76,15,137,15,180c0,105-79,137-316,137c-201,0-287-49-287-165c0-31,8-76,17-117h-70c-11,37-17,87-17,132c0,161,108,230,357,230c269,0,386-65,386-217ZM483,1112c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51Z
beh-ar.fina;M899,981l20-20v-60c-45,0-75-8-92-25c-16-17-24-54-24-110v-103h-70v103c0,115-63,144-316,144c-201,0-287-49-287-165c0-31,8-76,17-117h-70c-11,37-17,87-17,132c0,161,108,230,357,230c199,0,307-35,332-110c12,68,61,101,150,101ZM483,1112c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51Z
